                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 2.8648,                 3.9664,                 3.1381,                0.46428,                0.03792,                0.04071,                0.01785,                 3.0021,                 5.7044,                 3.2232,                0.00568,                0.00568,                0.00568
                     98,                 2.7569,                 3.8969,                 3.1338,                0.45259,                0.03204,                0.03783,                0.01813,                 3.0117,                 5.4656,                 3.2139,               0.005635,               0.005635,               0.005635
                     99,                 2.8847,                 3.9412,                  3.115,                0.36878,                0.04757,                0.03368,                0.01494,                 2.9563,                 5.3945,                 3.2068,                0.00559,                0.00559,                0.00559
                    100,                 2.7611,                 3.5706,                 3.0663,                 0.3864,                0.04475,                0.03901,                0.01803,                 2.9511,                 5.6449,                 3.2015,               0.005545,               0.005545,               0.005545
                    101,                 2.8482,                  3.766,                  3.024,                0.37179,                0.04745,                 0.0394,                0.01843,                 2.9771,                 5.4701,                 3.1877,                 0.0055,                 0.0055,                 0.0055
                    102,                 2.7889,                 3.6928,                 3.0238,                0.36323,                 0.0505,                0.03577,                0.01618,                 2.9952,                 5.8484,                 3.1798,               0.005455,               0.005455,               0.005455
                    103,                 2.6117,                 3.9324,                 3.0931,                0.45018,                0.02338,                0.03182,                 0.0148,                 2.9985,                 5.7223,                 3.1756,                0.00541,                0.00541,                0.00541
                    104,                 2.7837,                 3.8654,                 3.0897,                0.36138,                0.03563,                 0.0368,                0.01643,                 2.9949,                 5.6199,                 3.1721,               0.005365,               0.005365,               0.005365
                    105,                  2.633,                 3.7699,                 3.0364,                0.36373,                0.03155,                0.03192,                0.01596,                 2.9396,                 5.4641,                 3.1648,                0.00532,                0.00532,                0.00532
                    106,                 2.7846,                 4.0473,                 3.0007,                0.33952,                0.03839,                0.03003,                0.01458,                 2.9644,                 5.9885,                 3.1665,               0.005275,               0.005275,               0.005275
                    107,                 2.6557,                 3.5635,                 2.9983,                 0.4184,                0.03518,                0.03165,                0.01491,                 2.9247,                 5.3972,                 3.1621,                0.00523,                0.00523,                0.00523
                    108,                 2.7345,                 3.5834,                 3.0034,                0.35404,                  0.037,                0.03017,                0.01433,                 2.9173,                 6.0435,                 3.1437,               0.005185,               0.005185,               0.005185
                    109,                 2.6947,                  3.655,                  3.059,                0.29289,                0.04097,                0.02885,                0.01448,                 2.9335,                 5.7217,                  3.152,                0.00514,                0.00514,                0.00514
                    110,                 2.7841,                 3.4348,                 2.9039,                0.30093,                0.04263,                0.03286,                0.01449,                 2.8887,                 5.4383,                 3.1534,               0.005095,               0.005095,               0.005095
                    111,                 2.7181,                 3.5608,                 3.0024,                0.35632,                0.04186,                0.03709,                0.01815,                 2.8174,                 5.3429,                 3.1256,                0.00505,                0.00505,                0.00505
                    112,                  2.642,                  3.635,                  2.912,                 0.3218,                0.06038,                 0.0397,                0.01818,                 2.8311,                 5.3656,                 3.1257,               0.005005,               0.005005,               0.005005
                    113,                 2.5911,                 3.7961,                 2.9662,                0.28682,                0.04299,                0.03402,                 0.0146,                 2.9504,                 5.4191,                 3.1448,                0.00496,                0.00496,                0.00496
                    114,                 2.7852,                 3.8158,                 3.0125,                 0.3876,                0.04412,                0.04249,                0.01577,                 2.7629,                 5.1972,                 3.0749,               0.004915,               0.004915,               0.004915
                    115,                 2.6958,                 3.7228,                 3.0486,                0.37607,                0.02414,                0.02518,                0.01018,                 2.8623,                 5.3479,                  3.127,                0.00487,                0.00487,                0.00487
                    116,                 2.5649,                 3.6625,                 2.9137,                0.33296,                0.04729,                0.03314,                0.01274,                 2.7615,                 5.0427,                 3.0593,               0.004825,               0.004825,               0.004825
                    117,                 2.6884,                  3.618,                 2.8972,                0.35329,                0.04198,                0.03556,                0.01193,                 2.7888,                 4.9872,                  3.066,                0.00478,                0.00478,                0.00478
                    118,                 2.5121,                 3.5925,                 3.0275,                0.39374,                0.03718,                0.05113,                0.02028,                 2.7604,                 5.0142,                 3.0781,               0.004735,               0.004735,               0.004735
                    119,                 2.6743,                 3.5736,                 3.0222,                0.30275,                0.05469,                0.05492,                0.02058,                 2.7866,                 5.1259,                  3.084,                0.00469,                0.00469,                0.00469
                    120,                  2.614,                  3.528,                 2.8674,                0.36056,                0.04156,                0.05888,                0.02356,                 2.7815,                 5.1151,                  3.116,               0.004645,               0.004645,               0.004645
                    121,                 2.6752,                 3.5417,                  2.783,                0.32021,                0.04414,                0.04457,                0.01869,                 2.8339,                 5.2429,                 3.1682,                 0.0046,                 0.0046,                 0.0046
                    122,                 2.6046,                 3.3698,                 2.9036,                0.32835,                0.04959,                0.04934,                0.02078,                   2.81,                 5.0798,                 3.1544,               0.004555,               0.004555,               0.004555
                    123,                 2.6018,                 3.3508,                 2.8518,                0.31973,                0.04735,                 0.0447,                 0.0211,                 2.8198,                 4.9915,                 3.1479,                0.00451,                0.00451,                0.00451
                    124,                 2.5776,                 3.5362,                 2.8774,                0.28925,                0.06005,                0.05184,                0.02673,                  2.848,                 5.0887,                 3.1479,               0.004465,               0.004465,               0.004465
                    125,                 2.7252,                  3.643,                 2.9366,                0.28404,                0.05215,                0.05624,                0.03082,                 2.8016,                 5.0969,                 3.1694,                0.00442,                0.00442,                0.00442
                    126,                 2.7514,                 3.4793,                 2.7904,                0.24999,                0.06505,                0.05001,                0.02561,                 2.8152,                 5.1613,                 3.1649,               0.004375,               0.004375,               0.004375
                    127,                 2.5031,                 3.3959,                 2.8725,                0.25705,                0.06536,                0.05552,                0.02875,                 2.8055,                  5.244,                 3.1693,                0.00433,                0.00433,                0.00433
                    128,                 2.5863,                  3.452,                 2.8882,                0.25648,                0.05153,                0.04496,                0.02214,                 2.7758,                 5.4462,                 3.1431,               0.004285,               0.004285,               0.004285
                    129,                 2.4343,                 3.5953,                 2.9182,                 0.3273,                0.04897,                0.05095,                0.02432,                  2.707,                 5.2942,                 3.0954,                0.00424,                0.00424,                0.00424
                    130,                 2.6141,                 3.6461,                 2.8767,                 0.3115,                0.05272,                 0.0615,                0.03024,                 2.7138,                 5.3816,                  3.097,               0.004195,               0.004195,               0.004195
